No.	Functions	DeviceProperty Code / Command Id	Mode	ILX-LR1	ILCE-1M2	ILCE-1	ILCE-9M3	ILCE-9M2	ILCE-7RM5	ILCE-7RM4A	ILCE-7RM4	ILCE-7CR	ILCE-7SM3	ILCE-7M4	ILCE-7CM2	ILCE-7C	ILCE-6700	MPC-2610	ILME-FX6	ILME-FX2	ILME-FX3A	ILME-FX3	ILME-FX30	PXW-Z200	HXR-NX800	ZV-E1	ZV-E10M2	DSC-RX0M2	ILME-FR7	BRC-AM7
376	Bulb Timer Setting	:ref:`CrDeviceProperty_BulbTimerSetting<dp-BulbTimerSetting>`	R/T	✔	✔	\-	✔	\-	✔	\-	\-	✔	\-	\-	✔	\-	\-	\-	\-	✔	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-
377	Bulb Exposure Time Setting	:ref:`CrDeviceProperty_BulbExposureTimeSetting<dp-BulbExposureTimeSetting>`	R/T	✔	✔	\-	✔	\-	✔	\-	\-	✔	\-	\-	✔	\-	\-	\-	\-	✔	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-
378	Auto Slow Shutter	:ref:`CrDeviceProperty_AutoSlowShutter<dp-AutoSlowShutter>`	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	\-	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	\-	\-	\-
379	Iso Auto Min Shutter Speed Mode	:ref:`CrDeviceProperty_IsoAutoMinShutterSpeedMode<dp-IsoAutoMinShutterSpeedMode>`	R/T	✔	✔	✔	✔	\-	\-	\-	\-	✔	✔	✔	✔	\-	\-	\-	\-	✔	\-	\-	\-	\-	\-	\-	✔	\-	\-	\-
380	Iso Auto Min Shutter Speed Manual	:ref:`CrDeviceProperty_IsoAutoMinShutterSpeedManual<dp-IsoAutoMinShutterSpeedManual>`	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	\-	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	\-	\-	\-
381	Iso Auto Min Shutter Speed Preset	:ref:`CrDeviceProperty_IsoAutoMinShutterSpeedPreset<dp-IsoAutoMinShutterSpeedPreset>`	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	\-	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	\-	\-	\-
382	Absolute Focus Position Setting	:ref:`CrDeviceProperty_FocusPositionSetting<dp-FocusPositionSetting>`	R/T	✔	✔	✔	✔	\-	\-	\-	\-	✔	✔	✔	✔	\-	\-	\-	\-	✔	✔	✔	✔	\-	\-	\-	✔	\-	\-	✔
383	Cancel Absolute Focus Position	:ref:`CrCommandId_CancelFocusPosition<command-CancelFocusPosition>`	R/T	✔	✔	✔	✔	\-	\-	\-	\-	✔	✔	✔	✔	\-	\-	\-	\-	✔	✔	✔	✔	\-	\-	\-	✔	\-	\-	\-
384	Soft Skin Effect	:ref:`CrDeviceProperty_SoftSkinEffect<dp-SoftSkinEffect>`	R/T	✔	✔	\-	✔	\-	✔	\-	\-	✔	\-	✔	✔	\-	\-	\-	\-	\-	\-	\-	\-	✔	✔	✔	✔	\-	\-	✔
385	Priority Set in AF-S	:ref:`CrDeviceProperty_PrioritySetInAF_S<dp-PrioritySetInAF_S>`	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	\-	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	\-	\-	\-
386	Priority Set in AF-C	:ref:`CrDeviceProperty_PrioritySetInAF_C<dp-PrioritySetInAF_C>`	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	\-	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	\-	\-	\-
387	Focus Magnification Time	:ref:`CrDeviceProperty_FocusMagnificationTime<dp-FocusMagnificationTime>`	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	\-	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	\-	\-	\-
388	Subject Recognition in AF	:ref:`CrDeviceProperty_SubjectRecognitionInAF<dp-SubjectRecognitionInAF>`	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	\-	\-	\-
389	Recognition Target	:ref:`CrDeviceProperty_RecognitionTarget<dp-RecognitionTarget>`	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	\-	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	\-	\-	\-
390	Right/Left Eye Select	:ref:`CrDeviceProperty_RightLeftEyeSelect<dp-RightLeftEyeSelect>`	R/T	✔	✔	✔	✔	\-	\-	\-	\-	✔	✔	✔	✔	\-	✔	\-	\-	✔	\-	\-	\-	\-	\-	\-	✔	\-	\-	\-
391	Select FTP Server	:ref:`CrDeviceProperty_SelectFTPServer<dp-SelectFTPServer>`	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	\-	\-	\-	✔	✔	✔	✔	\-	\-	\-	\-	\-	\-	\-
392	Select FTP ServerID	:ref:`CrDeviceProperty_SelectFTPServerID<dp-SelectFTPServerID>`	R/T	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\*1	\*1	\-	\-	\-	\-	✔	✔	\-	\-	\-	\-	\-
393	FTP Connection Status	:ref:`CrDeviceProperty_FTP_ConnectionStatus<dp-FTP_ConnectionStatus>`	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	\-	\-	\-	✔	✔	✔	✔	\-	\-	\-	\-	\-	\-	\-
394	FTP Connection Error Info	:ref:`CrDeviceProperty_FTP_ConnectionErrorInfo<dp-FTP_ConnectionErrorInfo>`	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	\-	\-	\-	✔	✔	✔	✔	\-	\-	\-	\-	\-	\-	\-
395	FTP Server Setting Version	:ref:`CrDeviceProperty_FTPServerSettingVersion<dp-FTPServerSettingVersion>`	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	\-	\-	\-	✔	✔	✔	✔	\-	\-	\-	\-	\-	\-	\-
396	FTP Server Setting Operation Enable Status	:ref:`CrDeviceProperty_FTPServerSettingOperationEnableStatus<dp-FTPServerSettingOperationEnableStatus>`	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	\-	\-	\-	✔	✔	✔	✔	\-	\-	\-	\-	\-	\-	\-
397	FTP Job List Data Version	:ref:`CrDeviceProperty_FTPJobListDataVersion<dp-FTPJobListDataVersion>`	R/T	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	✔	✔	\-	\-	\-	\-	✔	✔	\-	\-	\-	\-	\-
398	FTP Function	:ref:`CrDeviceProperty_FTP_Function<dp-FTP_Function>`	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	\-	\-	\-	✔	✔	✔	✔	\-	\-	\-	\-	\-	\-	\-
399	Auto FTP Transfer	:ref:`CrDeviceProperty_FTP_AutoTransfer<dp-FTP_AutoTransfer>`	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	\-	\-	\-	✔	✔	✔	✔	\-	\-	\-	\-	\-	\-	\-
400	Auto FTP Transfer Target (Still/Movie)	:ref:`CrDeviceProperty_FTP_AutoTransferTarget<dp-FTP_AutoTransferTarget>`	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	\-	\-	\-	✔	✔	✔	✔	\-	\-	\-	\-	\-	\-	\-
401	Auto FTP Transfer Target (Movie)	:ref:`CrDeviceProperty_Movie_FTP_AutoTransferTarget<dp-Movie_FTP_AutoTransferTarget>`	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	\-	\-	\-	✔	✔	✔	✔	\-	\-	\-	\-	\-	\-	\-
402	FTP Transfer Target (Still)	:ref:`CrDeviceProperty_FTP_TransferTarget<dp-FTP_TransferTarget>`	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	\-	\-	\-	✔	✔	✔	✔	\-	\-	\-	\-	\-	\-	\-
403	FTP Transfer Target (Movie)	:ref:`CrDeviceProperty_Movie_FTP_TransferTarget<dp-Movie_FTP_TransferTarget>`	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	\-	\-	\-	✔	✔	✔	✔	\-	\-	\-	\-	\-	\-	\-
404	FTP Power Save	:ref:`CrDeviceProperty_FTP_PowerSave<dp-FTP_PowerSave>`	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	\-	\-	\-	✔	✔	✔	✔	\-	\-	\-	\-	\-	\-	\-
405	USB Power Supply	:ref:`CrDeviceProperty_USBPowerSupply<dp-USBPowerSupply>`	R/T	\-	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	\-	\-	\-
406	Execute Flicker Scan	:ref:`CrCommandId_FlickerScan<command-FlickerScan>`	R/T	✔	✔	\-	✔	\-	✔	\-	\-	✔	\-	\-	✔	\-	\-	\-	\-	✔	\-	\-	\-	\-	\-	✔	✔	\-	\-	\-
407	Flicker Scan Status	:ref:`CrDeviceProperty_FlickerScanStatus<dp-FlickerScanStatus>`	R/T	✔	✔	\-	✔	\-	✔	\-	\-	✔	\-	\-	✔	\-	\-	\-	\-	✔	\-	\-	\-	\-	\-	✔	✔	\-	\-	\-
408	Flicker Scan Enable Status	:ref:`CrDeviceProperty_FlickerScanEnableStatus<dp-FlickerScanEnableStatus>`	R/T	✔	✔	\-	✔	\-	✔	\-	\-	✔	\-	\-	✔	\-	\-	\-	\-	✔	\-	\-	\-	\-	\-	✔	✔	\-	\-	\-
409	FTP Transfer Setting Save Operation Enable Status	:ref:`CrDeviceProperty_FTPTransferSetting_SaveOperationEnableStatus<dp-FTPTransferSetting_SaveOperationEnableStatus>`	R/T	✔	✔	✔	✔	\-	\-	\-	\-	✔	✔	✔	✔	\-	\-	\-	\-	✔	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-
410	FTP Transfer Setting Read Operation Enable Status	:ref:`CrDeviceProperty_FTPTransferSetting_ReadOperationEnableStatus<dp-FTPTransferSetting_ReadOperationEnableStatus>`	R/T	✔	✔	✔	✔	\-	\-	\-	\-	✔	✔	✔	✔	\-	\-	\-	\-	✔	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-
411	FTP Transfer Setting Save/Read State	:ref:`CrDeviceProperty_FTPTransferSetting_SaveRead_State<dp-FTPTransferSetting_SaveRead_State>`	R/T	✔	✔	✔	✔	\-	\-	\-	\-	✔	✔	✔	✔	\-	\-	\-	\-	✔	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-
412	Camera Shake Status	:ref:`CrDeviceProperty_CameraShakeStatus<dp-CameraShakeStatus>`	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	\-	\-	\-
413	Update Body Status	:ref:`CrDeviceProperty_UpdateBodyStatus<dp-UpdateBodyStatus>`	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	\-	\-	\-
414	Media SLOT1 Writing State	:ref:`CrDeviceProperty_MediaSLOT1_WritingState<dp-MediaSLOT1_WritingState>`	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	\-	\-	\-
415	Media SLOT2 Writing State	:ref:`CrDeviceProperty_MediaSLOT2_WritingState<dp-MediaSLOT2_WritingState>`	R/T	\-	✔	✔	✔	\-	✔	\-	\-	\-	✔	✔	\-	\-	\-	\-	\-	✔	✔	✔	✔	\-	\-	\-	\-	\-	\-	\-
416	Media SLOT1 Recording Available Type	:ref:`CrDeviceProperty_MediaSLOT1_RecordingAvailableType<dp-MediaSLOT1_RecordingAvailableType>`	R/T	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	✔	✔	\-	\-	\-	\-	✔	✔	\-	\-	\-	✔	✔
417	Media SLOT2 Recording Available Type	:ref:`CrDeviceProperty_MediaSLOT2_RecordingAvailableType<dp-MediaSLOT2_RecordingAvailableType>`	R/T	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	✔	✔	\-	\-	\-	\-	✔	✔	\-	\-	\-	✔	✔
418	Lens Model Name	:ref:`CrDeviceProperty_LensModelName<dp-LensModelName>`	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	\-	✔	\-
419	Focus Position Current Value	:ref:`CrDeviceProperty_FocusPositionCurrentValue<dp-FocusPositionCurrentValue>`	R/T	✔	✔	✔	✔	\-	\-	\-	\-	✔	✔	✔	✔	\-	\-	\-	\-	✔	✔	✔	✔	\-	\-	\-	✔	\-	\-	\*1
420	Focus Driving Status	:ref:`CrDeviceProperty_FocusDrivingStatus<dp-FocusDrivingStatus>`	R/T	✔	✔	✔	✔	\-	\-	\-	\-	✔	✔	\-	✔	\-	✔	\-	\-	✔	\-	\-	\-	\-	\-	\-	✔	\-	\-	\-
421	Button Assignment Assignable 10	:ref:`CrDeviceProperty_ButtonAssignmentAssignable10<dp-ButtonAssignmentAssignable10>`	R/T	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	✔	\-	\-	\-	\-	\-	✔	✔	\-	\-	\-	\-	✔
422	Button Assignment Assignable 11	:ref:`CrDeviceProperty_ButtonAssignmentAssignable11<dp-ButtonAssignmentAssignable11>`	R/T	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	✔	\-	\-	\-	\-	\-	✔	✔	\-	\-	\-	\-	✔
423	Assignable Button 10	:ref:`CrDeviceProperty_AssignableButton10<dp-AssignableButton10>`	R/T	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	✔	\-	\-	\-	\-	\-	✔	✔	\-	\-	\-	\-	✔
424	Assignable Button 11	:ref:`CrDeviceProperty_AssignableButton11<dp-AssignableButton11>`	R/T	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	✔	\-	\-	\-	\-	\-	✔	✔	\-	\-	\-	\-	✔
425	Assignable Button Indicator 10	:ref:`CrDeviceProperty_AssignableButtonIndicator10<dp-AssignableButtonIndicator10>`	R/T	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	✔	\-	\-	\-	\-	\-	✔	✔	\-	\-	\-	\-	\*1
426	Assignable Button Indicator 11	:ref:`CrDeviceProperty_AssignableButtonIndicator11<dp-AssignableButtonIndicator11>`	R/T	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	✔	\-	\-	\-	\-	\-	✔	✔	\-	\-	\-	\-	✔
427	ND Filter Unit Setting	:ref:`CrDeviceProperty_NDFilterUnitSetting<dp-NDFilterUnitSetting>`	R/T	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\*1	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-
428	ND Filter Optical Density Value	:ref:`CrDeviceProperty_NDFilterOpticalDensityValue<dp-NDFilterOpticalDensityValue>`	R/T	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	✔	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-
429	T-Number	:ref:`CrDeviceProperty_TNumber<dp-TNumber>`	R/T	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	✔	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-
430	Iris Display Unit	:ref:`CrDeviceProperty_IrisDisplayUnit<dp-IrisDisplayUnit>`	R/T	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\*1	\*1	\-	\-	\-	\-	\*1	\*1	\-	\-	\-	\*1	\*1
431	Image Stabilization Level (Movie)	:ref:`CrDeviceProperty_Movie_ImageStabilizationLevel<dp-Movie_ImageStabilizationLevel>`	R/T	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	✔	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-
432	Image Stabilization Steady Shot Adjust	:ref:`CrDeviceProperty_ImageStabilizationSteadyShotAdjust<dp-ImageStabilizationSteadyShotAdjust>`	R/T	\-	✔	\-	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	✔	✔	\-	✔	✔	✔	✔	\-	\-	✔	✔	\-	\-	\-
433	Image Stabilization Steady Shot Focal Length	:ref:`CrDeviceProperty_ImageStabilizationSteadyShotFocalLength<dp-ImageStabilizationSteadyShotFocalLength>`	R/T	\-	✔	\-	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	✔	✔	\-	✔	✔	✔	✔	\-	\-	✔	\-	\-	\-	\-
434	Camera Operating Mode	:ref:`CrDeviceProperty_CameraOperatingMode<dp-CameraOperatingMode>`	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	\-	✔	✔
435	Playback View Mode	:ref:`CrDeviceProperty_PlaybackViewMode<dp-PlaybackViewMode>`	R/T	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	✔	✔	\-	\-	\-	\-	✔	✔	\-	\-	\-	✔	✔
436	Media SLOT3 Status	:ref:`CrDeviceProperty_MediaSLOT3_Status<dp-MediaSLOT3_Status>`	R/T	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	✔	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-
437	Media SLOT3 Remaining Time	:ref:`CrDeviceProperty_MediaSLOT3_RemainingTime<dp-MediaSLOT3_RemainingTime>`	R/T	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	✔	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-
438	Media SLOT3 Recording Available Type	:ref:`CrDeviceProperty_MediaSLOT3_RecordingAvailableType<dp-MediaSLOT3_RecordingAvailableType>`	R/T	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	✔	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-
439	Monitoring Setting Version	:ref:`CrDeviceProperty_MonitoringSettingVersion<dp-MonitoringSettingVersion>`	R/T	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	✔	✔	\-	✔	✔	✔	✔	✔	\-	\-	\-	\-	\-
440	Monitoring Delivery Type Support Info	:ref:`CrDeviceProperty_MonitoringDeliveryTypeSupportInfo<dp-MonitoringDeliveryTypeSupportInfo>`	R/T	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	✔	✔	\*1	✔	✔	✔	✔	✔	\-	\-	\-	\-	\-
441	Monitoring Delivering Status	:ref:`CrDeviceProperty_MonitoringDeliveringStatus<dp-MonitoringDeliveringStatus>`	R/T	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	✔	✔	\-	✔	✔	✔	✔	✔	\-	\-	\-	\-	\-
442	Monitoring is Delivering	:ref:`CrDeviceProperty_MonitoringIsDelivering<dp-MonitoringIsDelivering>`	R/T	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	✔	✔	\-	✔	✔	✔	✔	✔	\-	\-	\-	\-	\-
443	Audio Level Display	:ref:`CrDeviceProperty_AudioLevelDisplay<dp-AudioLevelDisplay>`	R/T	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	✔	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-
444	HDMI Output Color Gamut for RAW Out (Movie)	:ref:`CrDeviceProperty_Movie_HDMIOutputColorGamutForRAWOut<dp-Movie_HDMIOutputColorGamutForRAWOut>`	R/T	\-	\-	✔	\-	\-	✔	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-
445	e-Front Curtain Shutter	:ref:`CrDeviceProperty_ElectricFrontCurtainShutter<dp-ElectricFrontCurtainShutter>`	R/T	\-	\-	\-	\-	\-	✔	\-	\-	\-	✔	✔	\-	\-	\-	\-	\-	\-	✔	✔	\-	\-	\-	\-	\-	\-	\-	\-
446	Camera Error Caution Status	:ref:`CrDeviceProperty_CameraErrorCautionStatus<dp-CameraErrorCautionStatus>`	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	\-	\-	\-
447	System Error Caution Status	:ref:`CrDeviceProperty_SystemErrorCautionStatus<dp-SystemErrorCautionStatus>`	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	\-	\-	\-
448	Extended Shutter Speed	:ref:`CrDeviceProperty_ExtendedShutterSpeed<dp-ExtendedShutterSpeed>`	R/T	\-	✔	✔	✔	\-	\-	\-	\-	\-	✔	\-	\-	\-	\-	\-	\-	✔	\-	\-	\-	\-	\-	\-	✔	\-	\-	\-
449	Camera Button Function	:ref:`CrDeviceProperty_CameraButtonFunction<dp-CameraButtonFunction>`	R/T	✔	✔	✔	✔	\-	✔	\-	\-	\-	✔	✔	\-	\-	✔	\-	\-	✔	✔	✔	✔	✔	✔	✔	✔	\-	\-	\-
450	Camera Button Function(Multi)	:ref:`CrDeviceProperty_CameraButtonFunctionMulti<dp-CameraButtonFunctionMulti>`	R/T	✔	✔	✔	✔	\-	✔	\-	\-	\-	✔	✔	\-	\-	✔	\-	\-	✔	✔	✔	✔	✔	✔	✔	✔	\-	\-	\-
451	Camera Dial Function	:ref:`CrDeviceProperty_CameraDialFunction<dp-CameraDialFunction>`	R/T	✔	✔	✔	✔	\-	✔	\-	\-	\-	✔	✔	\-	\-	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	\-	\-	\-
452	Camera Button Function Status	:ref:`CrDeviceProperty_CameraButtonFunctionStatus<dp-CameraButtonFunctionStatus>`	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	✔	✔	\-	✔	✔	✔	✔	✔	✔	✔	✔	\-	\-	\-
453	Synchroterminal Forced Output	:ref:`CrDeviceProperty_SynchroterminalForcedOutput<dp-SynchroterminalForcedOutput>`	R/T	\-	✔	\-	✔	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-
454	Shutter Release Time Lag Control	:ref:`CrDeviceProperty_ShutterReleaseTimeLagControl<dp-ShutterReleaseTimeLagControl>`	R/T	\-	✔	\-	✔	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-
455	Flicker Less Shooting Status	:ref:`CrDeviceProperty_FlickerLessShootingStatus<dp-FlickerLessShootingStatus>`	R/T	\-	✔	✔	✔	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	✔	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-
456	Control Spot Boosting button 	:ref:`CrCommandId_ContinuousShootingSpotBoost<command-ContinuousShootingSpotBoost>`	R/T	\-	✔	\-	✔	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-
457	Control Spot Boost Status	:ref:`CrDeviceProperty_ContinuousShootingSpotBoostStatus<dp-ContinuousShootingSpotBoostStatus>`	R/T	\-	✔	\-	✔	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-
458	Control Spot Boost Enable Status	:ref:`CrDeviceProperty_ContinuousShootingSpotBoostEnableStatus<dp-ContinuousShootingSpotBoostEnableStatus>`	R/T	\-	✔	\-	✔	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-
459	Control Spot Boost Frame Speed	:ref:`CrDeviceProperty_ContinuousShootingSpotBoostFrameSpeed<dp-ContinuousShootingSpotBoostFrameSpeed>`	R/T	\-	✔	\-	✔	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-
460	Time Shift Shooting	:ref:`CrDeviceProperty_TimeShiftShooting<dp-TimeShiftShooting>`	R/T	\-	✔	\-	✔	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-
461	Time Shift Trigger Setting	:ref:`CrDeviceProperty_TimeShiftTriggerSetting<dp-TimeShiftTriggerSetting>`	R/T	\-	✔	\-	✔	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-
462	Time Shift Pre Shooting Time Setting	:ref:`CrDeviceProperty_TimeShiftPreShootingTimeSetting<dp-TimeShiftPreShootingTimeSetting>`	R/T	\-	✔	\-	✔	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-
463	Time Shift Shooting Status	:ref:`CrDeviceProperty_TimeShiftShootingStatus<dp-TimeShiftShootingStatus>`	R/T	\-	✔	\-	✔	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-	\-
464	Zoom Driving Status	:ref:`CrDeviceProperty_ZoomDrivingStatus<dp-ZoomDrivingStatus>`	R/T	✔	✔	✔	✔	\-	\-	\-	\-	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	\-	\-	✔	\-	\-	\-
465	Embed LUT File	:ref:`CrDeviceProperty_EmbedLUTFile<dp-EmbedLUTFile>`	R/T	✔	✔	\-	✔	\-	\-	\-	\-	✔	✔	\-	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	\-	\-	\-
466	APS-C/Super 35mm shooting	:ref:`CrDeviceProperty_APS_C_S35<dp-APS_C_S35>`	R/T	✔	✔	\-	✔	\-	✔	\-	\-	\-	\-	✔	\-	\-	\-	\-	\-	✔	✔	✔	\-	\-	\-	✔	\-	\-	\-	\-
467	Lens Compensation Shading	:ref:`CrDeviceProperty_LensCompensationShading<dp-LensCompensationShading>`	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	\-	\-	\-
468	Lens Compensation Chromatic Aberration	:ref:`CrDeviceProperty_LensCompensationChromaticAberration<dp-LensCompensationChromaticAberration>`	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	\-	\-	\-
469	Lens Compensation Distortion	:ref:`CrDeviceProperty_LensCompensationDistortion<dp-LensCompensationDistortion>`	R/T	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	\-	\-	\-
